best_params,best_params,best_params,best_params,best_params,best_params,r2_train,r2_train,r2_train,r2_train,r2_train,r2_train,r2_val,r2_val,r2_val,r2_val,r2_val,r2_val,mse_train,mse_train,mse_train,mse_train,mse_train,mse_train,mse_val,mse_val,mse_val,mse_val,mse_val,mse_val,elapse_time,elapse_time,elapse_time,elapse_time,elapse_time,elapse_time
Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost,Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost,Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost,Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost,Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost,Lasso,ElasticNet,Decision Tree,RandomForest,GradientBoostingRegressor,XGBoost
{'alpha': 0.003},"{'l1_ratio': 0.3, 'alpha': 0.001}","{'min_samples_split': 80, 'min_samples_leaf': 1, 'max_depth': 8}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.07887736722207994,0.07891224699426269,0.10544303729464313,0.14164790100854463,0.2129706755293393,0.16383363867099393,0.07663183487951897,0.07673732305876302,0.06481104228832169,0.13401067730040184,0.23542347998278745,0.13364536937575933,214.7664645675151,214.7833670060563,197.5545800171262,150.2684611282041,106.20960668560878,151.15044834052802,179.1177380518782,179.09727513711553,181.41077100546653,167.9872173617668,148.31485642045126,168.05808089337432,14.157966136932373,45.91953229904175,10.273914337158203,643.9226167201996,1873.1225111484528,690.6132106781006
{'alpha': 0.003},"{'l1_ratio': 0.3, 'alpha': 0.001}","{'min_samples_split': 80, 'min_samples_leaf': 1, 'max_depth': 8}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.07890520834441872,0.07896282509295545,0.10544303729464304,0.14174728906408166,0.21294998856127628,0.16383903421955884,0.07669286268118203,0.07677538736033973,0.0648110422883218,0.13403912534881102,0.23541440347954212,0.13364254188482194,214.77641131894393,214.78609648697133,197.5545800171262,150.26639094346035,106.20960668560878,151.15044834052802,179.10589969508283,179.08989130923788,181.4107710054665,167.9816989236448,148.31661710789115,168.05862937858336,8.007933616638184,23.411320686340332,10.476662397384644,667.8272087574005,1923.382600069046,707.511471748352
{'alpha': 0.01},"{'l1_ratio': 0.3, 'alpha': 0.001}","{'min_samples_split': 80, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.20767799836775752,0.20771004068064033,0.2994056157356094,0.35622800152671674,0.3797284200735428,0.3671600937803471,0.25340711904502145,0.25294032195860583,0.3234747909921415,0.42413999235408395,0.46196887132806297,0.41768287135772,184.86267668801136,184.81625660136982,136.74326402404552,107.17650757657576,64.4838108741097,105.47028601636065,144.82633594460353,144.9168866495188,131.23439788153243,111.70705889629103,104.3688990042687,112.95963067739105,7.004215478897095,24.037758827209473,11.223527431488037,713.0852372646332,1914.1507885456085,504.884069442749
{'alpha': 0.003},"{'l1_ratio': 0.3, 'alpha': 0.001}","{'min_samples_split': 80, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.2178201045160606,0.21783209871605064,0.29106212735734294,0.3556506346618976,0.3947239597509728,0.3667396311952859,0.26686930864283753,0.2668095949244993,0.33833121160883306,0.4340821492910044,0.4537666198782062,0.4299699005203622,182.47049201909536,182.4804836594383,137.63622520938821,105.68261207667074,62.39348421227102,103.47994766706861,142.2148998554335,142.2264833023872,128.3525046595998,109.7784493457705,105.95999644744228,110.57615574926986,4.747497320175171,17.190805912017822,11.254780530929565,723.9849123954773,1931.674340724945,495.3093090057373
{'alpha': 0.001},"{'l1_ratio': 0.5, 'alpha': 0.001}","{'min_samples_split': 50, 'min_samples_leaf': 1, 'max_depth': 8}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.08545776436449352,0.08547079707996652,0.10323482927065589,0.15136235301049034,0.23179387919773903,0.1759852503989216,0.0772930889151,0.07759025520469842,0.0566949236837182,0.13307902896232393,0.23046449305830718,0.14950346746940812,223.45500197894043,223.4714017195598,203.88133946083,157.07868492586837,113.4413304617405,155.70983024302862,192.85130506441348,192.78919551902942,197.15644573159864,181.19170740332868,160.83755851857424,177.75890077427988,5.832350492477417,17.38613200187683,5.87181282043457,391.86428475379944,1142.1987099647522,332.1940104961395
{'alpha': 0.001},"{'l1_ratio': 1.0, 'alpha': 0.001}","{'min_samples_split': 50, 'min_samples_leaf': 1, 'max_depth': 8}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.2}","{'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1}",0.08542546497059848,0.08542546497059848,0.10318458164391768,0.1513642041887073,0.23188414693949727,0.17598079396782557,0.07734648148314494,0.07734648148314494,0.05669492368371831,0.13299209894116182,0.23163885233071013,0.14950346746940812,223.47431104828854,223.47431104828854,203.88133946083,157.0794303529418,113.4413304617405,155.70983024302862,192.84014569592438,192.84014569592438,197.1564457315986,181.20987630163106,160.5921103534238,177.75890077427988,3.595700740814209,8.417653560638428,7.253357410430908,499.5053086280823,1430.8136415481567,520.6727163791656
{'alpha': 0.001},"{'l1_ratio': 0.3, 'alpha': 0.001}","{'min_samples_split': 50, 'min_samples_leaf': 5, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_depth': 15, 'learning_rate': 0.1}","{'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.2}",0.214589086871071,0.21462614587427026,0.2909630531866828,0.3639218477902889,0.4028869264426886,0.3842109675577013,0.2532793177714576,0.25359189013541594,0.2911115033258137,0.40467196871370437,0.47020558285345804,0.4357548848070085,192.0269584371243,192.0442441539799,143.096457546229,112.3361819639726,32.3138795735597,19.051101736486643,156.06912266111044,156.0037931533412,148.16196788645055,124.42714625384032,110.7302259635399,117.93062947067966,9.59947919845581,30.606088876724243,11.192405462265015,731.0043203830719,1955.0498099327087,634.7139077186584
{'alpha': 0.001},"{'l1_ratio': 1.0, 'alpha': 0.001}","{'min_samples_split': 80, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 15}","{'random_state': 42, 'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_depth': 15, 'learning_rate': 0.1}","{'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.2}",0.2221825508379996,0.2221825508379996,0.29259402859435263,0.36432920434469135,0.41646801719417625,0.3836441260951922,0.2586760519022936,0.2586760519022936,0.32865091850118455,0.4037429799385316,0.47035298439461193,0.4305861710487987,190.19783667044499,190.19783667044499,141.07885217338162,110.38886141122978,32.83065209604779,16.416518598314614,154.94117270461376,154.94117270461376,140.31600388536486,124.62131050635644,110.69941815313061,119.01092179514393,4.582277059555054,9.967029571533203,11.520626783370972,735.7516980171204,1941.3040978908539,641.1732032299042
